id,username,password,firstName,lastName,college,locality,age,hobbies
203,ARYAN2,pass1000,Arayan,Nagar,IITJODHPUR,kota,19,chess,games
9,nehaverma9,pass9,Neha,Verma,IIT Roorkee,Lucknow,23,"Coding,Painting,Cricket"
135,nehasharma135,pass135,Neha,Sharma,IIT Bombay,Chennai,18,"Coding,Cycling,Photography"
8,amitverma8,pass8,Amit,Verma,IIT Kharagpur,Bangalore,22,"Music,Swimming,Coding"
128,snehasingh128,pass128,Sneha,Singh,IIT Guwahati,Pune,19,"Photography,Football,Painting"
140,snehaverma140,pass140,Sneha,Verma,IIT Kharagpur,Chennai,21,"Photography,Cycling,Painting"
139,rahulpatel139,pass139,Rahul,Patel,IIT Kanpur,Bangalore,20,"Photography,Reading,Painting"
12,priyajoshi12,pass12,Priya,Joshi,IIT Bombay,Mumbai,22,"Coding,Football,Cricket"
129,rahulreddy129,pass129,Rahul,Reddy,IIT Kharagpur,Jaipur,25,"Swimming,Reading,Football"
2,snehaverma2,pass2,Sneha,Verma,IIT Guwahati,Bangalore,22,"Football,Swimming,Painting"
141,priyanair141,pass141,Priya,Nair,IIT Roorkee,Jaipur,22,"Photography,Swimming,Cycling"
14,vikramgupta14,pass14,Vikram,Gupta,IIT Kanpur,Kolkata,19,"Cycling,Swimming,Coding"
130,snehaverma130,pass130,Sneha,Verma,IIT Kharagpur,Kolkata,18,"Cycling,Reading,Painting"
3,snehapatel3,pass3,Sneha,Patel,IIT Bombay,Chennai,22,"Swimming,Music,Cycling"
131,rohitjoshi131,pass131,Rohit,Joshi,IIT Guwahati,Bangalore,24,"Football,Cycling,Photography"
4,vikramnair4,pass4,Vikram,Nair,IIT Bhubaneswar,Bangalore,22,"Painting,Cycling,Coding"
132,kirangupta132,pass132,Kiran,Gupta,IIT Guwahati,Mumbai,24,"Coding,Swimming,Painting"
5,arjunsingh5,pass5,Arjun,Singh,IIT Bhubaneswar,Bangalore,18,"Football,Swimming,Music"
133,vikramnair133,pass133,Vikram,Nair,IIT Kanpur,Bangalore,24,"Reading,Swimming,Music"
6,arjunjoshi6,pass6,Arjun,Joshi,IIT Bhubaneswar,Jaipur,25,"Cycling,Reading,Coding"
134,nehasingh134,pass134,Neha,Singh,IIT Bhubaneswar,Bangalore,21,"Cricket,Cycling,Music"
7,arjunjoshi7,pass7,Arjun,Joshi,IIT Bhubaneswar,Lucknow,25,"Photography,Painting,Swimming"
45,sanyachopra45,pass45,Sanya,Chopra,IIT Kharagpur,Lucknow,22,"Reading,Coding,Painting"
172,rohitsingh172,pass172,Rohit,Singh,IIT Guwahati,Jaipur,23,"Reading,Coding,Football"
181,rahulsingh181,pass181,Rahul,Singh,IIT Bombay,Pune,25,"Reading,Football,Swimming"
54,amitpatel54,pass54,Amit,Patel,IIT Kanpur,Kolkata,25,"Music,Reading,Cycling"
46,vikramsingh46,pass46,Vikram,Singh,IIT Bombay,Jaipur,23,"Swimming,Reading,Painting"
173,snehasingh173,pass173,Sneha,Singh,IIT Kanpur,Mumbai,23,"Cycling,Football,Music"
182,amitsingh182,pass182,Amit,Singh,IIT Roorkee,Lucknow,22,"Reading,Photography,Cricket"
55,rahulreddy55,pass55,Rahul,Reddy,IIT Bombay,Lucknow,22,"Painting,Swimming,Reading"
47,amitreddy47,pass47,Amit,Reddy,IIT Guwahati,Chennai,20,"Photography,Swimming,Music"
174,vikramsharma174,pass174,Vikram,Sharma,IIT Roorkee,Kolkata,19,"Music,Swimming,Cricket"
183,nehachopra183,pass183,Neha,Chopra,IIT Kanpur,Delhi,19,"Coding,Music,Cycling"
56,priyareddy56,pass56,Priya,Reddy,IIT Roorkee,Kolkata,18,"Cricket,Photography,Cycling"
48,amitsingh48,pass48,Amit,Singh,IIT Roorkee,Mumbai,19,"Cycling,Coding,Swimming"
175,nehachopra175,pass175,Neha,Chopra,IIT Bombay,Lucknow,24,"Swimming,Coding,Football"
184,rahulreddy184,pass184,Rahul,Reddy,IIT Bombay,Bangalore,25,"Coding,Cycling,Swimming"
57,nehasingh57,pass57,Neha,Singh,IIT Bombay,Kolkata,23,"Swimming,Football,Cycling"
49,nehakapoor49,pass49,Neha,Kapoor,IIT Roorkee,Mumbai,19,"Cycling,Music,Coding"
176,arjunverma176,pass176,Arjun,Verma,IIT Kharagpur,Delhi,20,"Football,Music,Photography"
185,nehapatel185,pass185,Neha,Patel,IIT Bhubaneswar,Lucknow,23,"Coding,Photography,Cricket"
58,rohitjoshi58,pass58,Rohit,Joshi,IIT Bombay,Kolkata,25,"Coding,Reading,Music"
50,vikramsingh50,pass50,Vikram,Singh,IIT Roorkee,Jaipur,25,"Cycling,Painting,Reading"
177,kiranchopra177,pass177,Kiran,Chopra,IIT Bhubaneswar,Kolkata,25,"Photography,Cycling,Music"
186,kiransingh186,pass186,Kiran,Singh,IIT Bhubaneswar,Kolkata,19,"Music,Photography,Football"
59,snehapatel59,pass59,Sneha,Patel,IIT Roorkee,Chennai,25,"Painting,Coding,Cycling"
178,rahulpatel178,pass178,Rahul,Patel,IIT Kharagpur,Pune,21,"Reading,Cycling,Music"
51,rahulnair51,pass51,Rahul,Nair,IIT Guwahati,Pune,20,"Photography,Painting,Coding"
179,kiransharma179,pass179,Kiran,Sharma,IIT Roorkee,Chennai,18,"Cricket,Reading,Swimming"
52,rahulgupta52,pass52,Rahul,Gupta,IIT Roorkee,Pune,21,"Photography,Coding,Cricket"
180,rohitgupta180,pass180,Rohit,Gupta,IIT Bombay,Chennai,22,"Photography,Painting,Music"
53,nehachopra53,pass53,Neha,Chopra,IIT Guwahati,Delhi,24,"Cycling,Photography,Music"
103,amitgupta103,pass103,Amit,Gupta,IIT Kanpur,Jaipur,25,"Football,Photography,Cycling"
102,sanyakapoor102,pass102,Sanya,Kapoor,IIT Kharagpur,Delhi,24,"Reading,Music,Swimming"
101,vikrampatel101,pass101,Vikram,Patel,IIT Roorkee,Chennai,24,"Painting,Cricket,Coding"
100,arjunnair100,pass100,Arjun,Nair,IIT Kanpur,Bangalore,21,"Reading,Photography,Football"
99,rohitnair99,pass99,Rohit,Nair,IIT Kanpur,Kolkata,22,"Cycling,Coding,Music"
68,rahuljoshi68,pass68,Rahul,Joshi,IIT Guwahati,Chennai,18,"Music,Football,Photography"
67,vikramsingh67,pass67,Vikram,Singh,IIT Bombay,Chennai,19,"Coding,Swimming,Reading"
66,rohitpatel66,pass66,Rohit,Patel,IIT Guwahati,Pune,22,"Football,Music,Coding"
65,vikramjoshi65,pass65,Vikram,Joshi,IIT Roorkee,Kolkata,21,"Reading,Coding,Cricket"
64,kirangupta64,pass64,Kiran,Gupta,IIT Kanpur,Jaipur,24,"Music,Cycling,Coding"
63,amitsingh63,pass63,Amit,Singh,IIT Kharagpur,Delhi,22,"Painting,Swimming,Cricket"
62,sanyapatel62,pass62,Sanya,Patel,IIT Roorkee,Chennai,22,"Photography,Swimming,Coding"
61,sanyajoshi61,pass61,Sanya,Joshi,IIT Guwahati,Delhi,20,"Cycling,Reading,Music"
60,rahulsharma60,pass60,Rahul,Sharma,IIT Kanpur,Jaipur,19,"Coding,Photography,Music"
160,nehajoshi160,pass160,Neha,Joshi,IIT Roorkee,Bangalore,22,"Swimming,Photography,Cricket"
33,kiranchopra33,pass33,Kiran,Chopra,IIT Roorkee,Kolkata,24,"Swimming,Football,Photography"
161,nehakapoor161,pass161,Neha,Kapoor,IIT Guwahati,Bangalore,18,"Cricket,Swimming,Coding"
34,rahulverma34,pass34,Rahul,Verma,IIT Kharagpur,Jaipur,20,"Music,Painting,Swimming"
162,rahulchopra162,pass162,Rahul,Chopra,IIT Kanpur,Delhi,20,"Photography,Painting,Football"
69,priyasingh69,pass69,Priya,Singh,IIT Guwahati,Delhi,21,"Cricket,Photography,Coding"
196,amitgupta196,pass196,Amit,Gupta,IIT Bhubaneswar,Delhi,18,"Swimming,Painting,Cricket"
191,rohitpatel191,pass191,Rohit,Patel,IIT Kanpur,Kolkata,18,"Painting,Cricket,Reading"
190,amitkapoor190,pass190,Amit,Kapoor,IIT Kanpur,Chennai,21,"Football,Photography,Reading"
