id,username,password,firstName,lastName,college,locality,age,hobbies
502,rahul27,,Rahul,Bish,IIT,JJ,19,cricket, TT
501,Rahul_bish29,,Rahul ,Bishnoi,IIT Jodhpur,Jodhpur,19,cricket, reading, swimming
408,ishakapoor408,pass408,Isha,Kapoor,IIT Guwahati,Mumbai,20,Music,Coding,Reading
407,priyagupta407,pass407,Priya,Gupta,IIT Bombay,Chennai,23,Photography,Cricket,Music
406,rahulverma406,pass406,Rahul,Verma,IIT Indore,Mumbai,22,Football,Traveling,Photography
405,ishagupta405,pass405,Isha,Gupta,IIT Roorkee,Kolkata,18,Coding,Traveling,Swimming
404,vikramgupta404,pass404,Vikram,Gupta,IIT Kanpur,Kolkata,19,Traveling,Football,Music
403,vikramsingh403,pass403,Vikram,Singh,IIT Delhi,Hyderabad,19,Traveling,Music,Cricket
402,akashsingh402,pass402,Akash,Singh,IIT Indore,Kolkata,19,Painting,Photography,Cricket
401,vikramgupta401,pass401,Vikram,Gupta,IIT Roorkee,Lucknow,23,Cricket,Coding,Reading
400,rohitpatel400,pass400,Rohit,Patel,IIT Bombay,Jaipur,22,Traveling,Reading,Coding
399,rohitpatel399,pass399,Rohit,Patel,IIT Guwahati,Hyderabad,20,Music,Photography,Coding
398,ananyachopra398,pass398,Ananya,Chopra,IIT Bombay,Chennai,21,Football,Painting,Photography
397,rohitmehta397,pass397,Rohit,Mehta,IIT Bombay,Ahmedabad,21,Swimming,Traveling,Football
396,priyasharma396,pass396,Priya,Sharma,IIT Hyderabad,Kolkata,22,Traveling,Music,Coding
395,arjunreddy395,pass395,Arjun,Reddy,IIT Guwahati,Pune,18,Swimming,Painting,Reading
394,arjunpatel394,pass394,Arjun,Patel,IIT Hyderabad,Hyderabad,22,Reading,Swimming,Photography
393,nehasingh393,pass393,Neha,Singh,IIT Guwahati,Kolkata,23,Reading,Coding,Traveling
392,akashreddy392,pass392,Akash,Reddy,IIT Hyderabad,Pune,18,Football,Cricket,Music
391,ananyakumar391,pass391,Ananya,Kumar,IIT Kanpur,Delhi,18,Reading,Swimming,Coding
390,ananyakumar390,pass390,Ananya,Kumar,IIT Kharagpur,Jaipur,23,Music,Coding,Cricket
389,rahulkapoor389,pass389,Rahul,Kapoor,IIT Delhi,Chennai,23,Swimming,Coding,Football
388,sanyachopra388,pass388,Sanya,Chopra,IIT Madras,Bangalore,22,Football,Cycling,Painting
387,arjunmehta387,pass387,Arjun,Mehta,IIT Hyderabad,Kolkata,18,Football,Painting,Cricket
386,arjunreddy386,pass386,Arjun,Reddy,IIT Delhi,Hyderabad,22,Swimming,Traveling,Reading
385,nehareddy385,pass385,Neha,Reddy,IIT Roorkee,Delhi,20,Traveling,Coding,Music
384,sanyasharma384,pass384,Sanya,Sharma,IIT Guwahati,Mumbai,21,Cycling,Football,Traveling
383,vikramverma383,pass383,Vikram,Verma,IIT Guwahati,Ahmedabad,18,Coding,Music,Cricket
382,rahulchopra382,pass382,Rahul,Chopra,IIT Bhubaneswar,Pune,18,Traveling,Swimming,Cricket
381,rohitchopra381,pass381,Rohit,Chopra,IIT Hyderabad,Lucknow,23,Coding,Football,Cycling
380,akashgupta380,pass380,Akash,Gupta,IIT Bhubaneswar,Delhi,18,Music,Painting,Reading
379,priyasharma379,pass379,Priya,Sharma,IIT Roorkee,Jaipur,19,Reading,Coding,Photography
378,rohitmehta378,pass378,Rohit,Mehta,IIT Bhubaneswar,Delhi,20,Swimming,Football,Coding
377,nehagupta377,pass377,Neha,Gupta,IIT Madras,Delhi,22,Football,Painting,Traveling
376,rohitsharma376,pass376,Rohit,Sharma,IIT Bhubaneswar,Ahmedabad,18,Photography,Cricket,Cycling
375,priyamehta375,pass375,Priya,Mehta,IIT Delhi,Bangalore,23,Music,Cycling,Traveling
374,ananyapatel374,pass374,Ananya,Patel,IIT Roorkee,Jaipur,19,Photography,Music,Reading
